# Source: KKBox WSDM Churn Prediction Challenge
fold,scorer,period_start,precision
2,logistic_finance,2016-09-13,0.14
2,logistic_finance,2016-09-20,0.14
2,logistic_finance,2016-09-27,0.08
2,logistic_finance,2016-10-04,0.1
2,logistic,2016-05-24,0.26
2,logistic,2016-05-31,0.18
2,logistic,2016-06-07,0.16
2,logistic,2016-06-14,0.3
2,logistic,2016-06-21,0.26
2,logistic,2016-06-28,0.16
2,logistic,2016-07-05,0.16
2,logistic,2016-07-12,0.1
2,logistic,2016-07-19,0.06
2,logistic,2016-07-26,0.1
2,logistic,2016-08-02,0.06
2,logistic,2016-08-09,0.06
2,logistic,2016-08-16,0.06
2,logistic,2016-08-23,0.04
2,logistic,2016-08-30,0.02
2,logistic,2016-09-06,0.12
2,logistic,2016-09-13,0.14
2,logistic,2016-09-20,0.16
2,logistic,2016-09-27,0.08
2,logistic,2016-10-04,0.16
2,logistic_tuned_finance,2016-05-24,0.18
2,logistic_tuned_finance,2016-05-31,0.16
2,logistic_tuned_finance,2016-06-07,0.22
2,logistic_tuned_finance,2016-06-14,0.18
2,logistic_tuned_finance,2016-06-21,0.22
2,logistic_tuned_finance,2016-06-28,0.16
2,logistic_tuned_finance,2016-07-05,0.06
2,logistic_tuned_finance,2016-07-12,0.08
2,logistic_tuned_finance,2016-07-19,0.04
2,logistic_tuned_finance,2016-07-26,0.04
2,logistic_tuned_finance,2016-08-02,0.04
2,logistic_tuned_finance,2016-08-09,0.04
2,logistic_tuned_finance,2016-08-16,0.04
2,logistic_tuned_finance,2016-08-23,0.24
2,logistic_tuned_finance,2016-08-30,0.0
2,logistic_tuned_finance,2016-09-06,0.1
2,logistic_tuned_finance,2016-09-13,0.14
2,logistic_tuned_finance,2016-09-20,0.12
2,logistic_tuned_finance,2016-09-27,0.08
2,logistic_tuned_finance,2016-10-04,0.12
2,logistic_tuned,2016-05-24,0.2
2,logistic_tuned,2016-05-31,0.18
2,logistic_tuned,2016-06-07,0.28
2,logistic_tuned,2016-06-14,0.26
2,logistic_tuned,2016-06-21,0.24
2,logistic_tuned,2016-06-28,0.14
2,logistic_tuned,2016-07-05,0.14
2,logistic_tuned,2016-07-12,0.08
2,logistic_tuned,2016-07-19,0.06
2,logistic_tuned,2016-07-26,0.06
2,logistic_tuned,2016-08-02,0.06
2,logistic_tuned,2016-08-09,0.08
2,logistic_tuned,2016-08-16,0.04
2,logistic_tuned,2016-08-23,0.14
2,logistic_tuned,2016-08-30,0.02
2,logistic_tuned,2016-09-06,0.08
2,logistic_tuned,2016-09-13,0.12
2,logistic_tuned,2016-09-20,0.1
2,logistic_tuned,2016-09-27,0.1
2,logistic_tuned,2016-10-04,0.16
2,xgboost_finance,2016-05-24,0.32
2,xgboost_finance,2016-05-31,0.34
2,xgboost_finance,2016-06-07,0.46
2,xgboost_finance,2016-06-14,0.48
2,xgboost_finance,2016-06-21,0.38
2,xgboost_finance,2016-06-28,0.38
2,xgboost_finance,2016-07-05,0.34
2,xgboost_finance,2016-07-12,0.3
2,xgboost_finance,2016-07-19,0.24
2,xgboost_finance,2016-07-26,0.2
2,xgboost_finance,2016-08-02,0.26
2,xgboost_finance,2016-08-09,0.36
2,xgboost_finance,2016-08-16,0.26
2,xgboost_finance,2016-08-23,0.22
2,xgboost_finance,2016-08-30,0.2
2,xgboost_finance,2016-09-06,0.26
2,xgboost_finance,2016-09-13,0.22
2,xgboost_finance,2016-09-20,0.16
2,xgboost_finance,2016-09-27,0.18
2,xgboost_finance,2016-10-04,0.3
2,xgboost,2016-05-24,0.38
2,xgboost,2016-05-31,0.4
2,xgboost,2016-06-07,0.48
2,xgboost,2016-06-14,0.5
2,xgboost,2016-06-21,0.4
2,xgboost,2016-06-28,0.34
2,xgboost,2016-07-05,0.36
2,xgboost,2016-07-12,0.36
2,xgboost,2016-07-19,0.3
2,xgboost,2016-07-26,0.24
2,xgboost,2016-08-02,0.38
2,xgboost,2016-08-09,0.4
2,xgboost,2016-08-16,0.26
2,xgboost,2016-08-23,0.22
2,xgboost,2016-08-30,0.2
2,xgboost,2016-09-06,0.24
2,xgboost,2016-09-13,0.18
2,xgboost,2016-09-20,0.2
2,xgboost,2016-09-27,0.26
2,xgboost,2016-10-04,0.34
3,random,2016-10-11,0.04
3,random,2016-10-18,0.02
3,random,2016-10-25,0.0
3,random,2016-11-01,0.02
3,random,2016-11-08,0.02
3,random,2016-11-15,0.06
3,random,2016-11-22,0.04
3,random,2016-11-29,0.0
3,random,2016-12-06,0.0
3,random,2016-12-13,0.0
3,random,2016-12-20,0.02
3,random,2016-12-27,0.02
3,random,2017-01-03,0.04
3,random,2017-01-10,0.02
3,random,2017-01-17,0.02
3,random,2017-01-24,0.0
3,random,2017-01-31,0.02
3,random,2017-02-07,0.02
3,random,2017-02-14,0.0
3,random,2017-02-21,0.06
3,revenue,2016-10-11,0.04
3,revenue,2016-10-18,0.04
3,revenue,2016-10-25,0.04
3,revenue,2016-11-01,0.02
3,revenue,2016-11-08,0.04
3,revenue,2016-11-15,0.08
3,revenue,2016-11-22,0.08
3,revenue,2016-11-29,0.06
3,revenue,2016-12-06,0.06
3,revenue,2016-12-13,0.08
3,revenue,2016-12-20,0.1
3,revenue,2016-12-27,0.14
3,revenue,2017-01-03,0.14
3,revenue,2017-01-10,0.14
3,revenue,2017-01-17,0.08
3,revenue,2017-01-24,0.04
3,revenue,2017-01-31,0.06
3,revenue,2017-02-07,0.06
3,revenue,2017-02-14,0.08
3,revenue,2017-02-21,0.08
3,logistic_finance,2016-10-11,0.14
3,logistic_finance,2016-10-18,0.06
3,logistic_finance,2016-10-25,0.36
3,logistic_finance,2016-11-01,0.06
3,logistic_finance,2016-11-08,0.08
3,logistic_finance,2016-11-15,0.08
3,logistic_finance,2016-11-22,0.16
3,logistic_finance,2016-11-29,0.14
3,logistic_finance,2016-12-06,0.08
3,logistic_finance,2016-12-13,0.12
3,logistic_finance,2016-12-20,0.16
3,logistic_finance,2016-12-27,0.16
3,logistic_finance,2017-01-03,0.1
3,logistic_finance,2017-01-10,0.06
3,logistic_finance,2017-01-17,0.1
3,logistic_finance,2017-01-24,0.08
3,logistic_finance,2017-01-31,0.16
3,logistic_finance,2017-02-07,0.12
3,logistic_finance,2017-02-14,0.1
3,logistic_finance,2017-02-21,0.08
3,logistic,2016-10-11,0.08
